,Stock Returns,,,
,,,,
,,,,
,Date,Apple Stock Return(AAPL),Alphabet Stock Return (GOOGL),Bank of America Stock Return (BAC)
,1/4/2017,-0.11%,-0.03%,1.86%
,1/5/2017,0.51%,0.65%,-1.18%
,1/6/2017,1.11%,1.50%,0.00%
,1/9/2017,0.92%,0.24%,-0.57%
,1/10/2017,0.10%,-0.14%,1.73%
,1/11/2017,0.54%,0.47%,0.57%
,1/12/2017,-0.42%,-0.04%,-0.65%
,1/13/2017,-0.18%,0.17%,0.39%
,1/17/2017,0.81%,-0.42%,-4.17%
,1/18/2017,-0.01%,0.19%,2.63%
,1/19/2017,-0.18%,-0.56%,-0.44%
,1/20/2017,0.18%,0.46%,0.49%
,1/23/2017,0.07%,1.96%,-0.35%
,1/24/2017,-0.09%,0.60%,1.73%
,1/25/2017,1.59%,1.05%,1.83%
,1/26/2017,0.05%,-0.17%,0.30%
,1/27/2017,0.01%,-1.39%,-0.34%
,1/30/2017,-0.26%,-2.51%,-1.76%
,1/31/2017,-0.23%,-0.44%,-1.35%
,2/1/2017,6.10%,-0.60%,1.10%
,2/2/2017,-0.17%,0.37%,-0.74%
,2/3/2017,0.43%,0.23%,2.51%
,2/6/2017,0.94%,0.18%,-0.73%
,2/7/2017,0.95%,0.93%,-0.95%
,2/8/2017,0.39%,0.08%,-1.00%
,2/9/2017,0.29%,0.02%,1.99%
,2/10/2017,-0.23%,0.58%,-0.17%
,2/13/2017,0.89%,0.49%,1.39%
,2/14/2017,1.30%,0.13%,2.82%
,2/15/2017,0.36%,-0.32%,2.16%
,2/16/2017,-0.13%,0.58%,0.00%
,2/17/2017,0.28%,0.52%,-0.24%
,2/21/2017,0.72%,0.32%,1.06%
,2/22/2017,0.30%,0.25%,0.04%
,2/23/2017,-0.42%,-0.04%,-0.85%
,2/24/2017,0.10%,-0.37%,-1.42%
,2/27/2017,0.20%,0.22%,1.40%
,2/28/2017,0.04%,-0.56%,0.45%
,3/1/2017,2.04%,1.40%,3.32%
,3/2/2017,-0.59%,-0.81%,-1.06%
,3/3/2017,0.59%,-0.09%,0.83%
,3/6/2017,-0.31%,-0.21%,-0.75%
,3/7/2017,0.13%,0.46%,-0.16%
,3/8/2017,-0.37%,0.29%,0.20%
,3/9/2017,-0.23%,0.49%,0.36%
,3/10/2017,0.33%,0.41%,-0.16%
,3/13/2017,0.04%,0.37%,-0.04%
,3/14/2017,-0.15%,0.15%,0.08%
,3/15/2017,1.06%,0.29%,-0.55%
,3/16/2017,0.16%,0.19%,0.16%
,3/17/2017,-0.50%,0.27%,-1.43%
,3/20/2017,1.05%,-0.51%,-1.69%
,3/21/2017,-1.15%,-2.05%,-5.81%
,3/22/2017,1.13%,-0.04%,-0.35%
,3/23/2017,-0.35%,-1.19%,0.57%
,3/24/2017,-0.20%,-0.54%,0.22%
,3/27/2017,0.17%,0.40%,-0.39%
,3/28/2017,2.07%,0.25%,1.95%
,3/29/2017,0.22%,1.10%,-0.55%
,3/30/2017,-0.13%,-0.05%,2.23%
,3/31/2017,-0.19%,-0.20%,-1.17%
,4/3/2017,0.03%,1.06%,0.00%
,4/4/2017,0.74%,-0.49%,-0.64%
,4/5/2017,-0.52%,-0.43%,-1.15%
,4/6/2017,-0.25%,-0.45%,0.39%
,4/7/2017,-0.22%,-0.35%,-0.43%
,4/10/2017,-0.12%,-0.05%,-0.60%
,4/11/2017,-1.08%,-0.22%,-0.43%
,4/12/2017,0.12%,0.19%,-1.18%
,4/13/2017,-0.53%,-0.15%,-1.37%
,4/17/2017,0.55%,1.78%,2.10%
,4/18/2017,-0.44%,-0.13%,-0.44%
,4/19/2017,-0.37%,0.30%,0.13%
,4/20/2017,1.25%,0.42%,1.45%
,4/21/2017,-0.12%,-0.13%,-1.56%
,4/24/2017,0.96%,2.33%,4.05%
,4/25/2017,0.62%,1.13%,1.48%
,4/26/2017,-0.59%,0.03%,-0.38%
,4/27/2017,0.08%,0.26%,-1.00%
,4/28/2017,-0.10%,3.71%,-1.31%
,5/1/2017,2.04%,0.90%,1.16%
,5/2/2017,0.63%,0.46%,-0.34%
,5/3/2017,-0.31%,1.21%,1.02%
,5/4/2017,-0.36%,0.66%,0.34%
,5/5/2017,1.66%,-0.47%,-0.46%
,5/8/2017,2.72%,0.89%,0.93%
,5/9/2017,0.64%,-0.21%,0.08%
,5/10/2017,-0.47%,-0.20%,0.71%
,5/11/2017,0.45%,0.11%,-0.33%
,5/12/2017,1.40%,-0.08%,-0.29%
,5/15/2017,-0.26%,0.43%,0.25%
,5/16/2017,-0.15%,0.56%,-0.29%
,5/17/2017,-3.36%,-2.33%,-5.92%
,5/18/2017,1.52%,0.88%,0.75%
,5/19/2017,0.34%,0.44%,1.36%
,5/22/2017,0.61%,0.99%,-0.04%
,5/23/2017,-0.12%,0.67%,1.52%
,5/24/2017,-0.30%,0.73%,-0.13%
,5/25/2017,0.35%,1.46%,-0.47%
,5/26/2017,-0.17%,0.14%,-0.04%
,5/30/2017,0.04%,0.29%,-1.42%
,5/31/2017,-0.59%,-0.91%,-2.18%
,6/1/2017,0.27%,0.12%,0.98%
